,DO,Temp,pH,Time
88,,,8.09,301.9221901893616
89,90.00,21.06,,305.22830605506897
90,90.00,21.06,8.09,307.23083329200745
91,,,,310.45675706863403
92,90.00,21.06,8.08,314.4666790962219
93,,,,315.53601908683777
94,90.00,21.06,8.09,319.5435121059418
95,,,,320.6099650859833
96,90.00,21.12,8.09,324.61701917648315
97,,,,325.6889259815216
98,91.00,21.12,8.08,329.69980001449585
99,,,,330.7640571594238
100,90.00,21.12,8.07,334.772980928421
101,,,,335.84285593032837
102,90.00,21.12,8.07,339.8498191833496
103,,,,340.9215581417084
104,91.00,21.12,8.06,344.9255590438843
105,,,,345.9957649707794
106,91.00,21.12,8.05,350.00087809562683
107,,,,351.0743360519409
108,91.00,21.12,8.07,355.0859100818634
109,,,,356.3780789375305
110,92.00,21.12,8.04,360.3877980709076
111,,,,361.6899619102478
112,92.00,21.12,8.02,365.69838213920593
113,,,,367.00749802589417
114,91.00,21.12,8.03,371.0150022506714
115,,,,372.3219950199127
116,91.00,21.12,8.05,376.3332359790802
117,92.00,21.19,,377.6385872364044
118,,,8.08,381.535108089447
119,92.00,21.19,,384.9528810977936
120,,,8.06,386.956237077713
121,92.00,21.19,,390.27149415016174
122,,,8.06,392.2723698616028
123,92.00,21.19,,395.58909487724304
124,,,8.06,397.59384512901306
125,92.00,21.19,,400.8970410823822
126,,,8.06,402.90106320381165
127,92.00,21.19,,406.21703028678894
128,,,8.02,408.21991300582886
129,92.00,21.19,,411.53315806388855
130,,,8.05,413.53883695602417
131,92.00,21.19,,416.8459050655365
132,93.00,21.19,8.05,418.8474280834198
133,,,,422.15389704704285
134,92.00,21.19,8.05,426.16665601730347
135,,,,427.2273631095886
136,93.00,21.19,8.04,431.2335150241852
137,,,,432.30691504478455
138,93.00,21.25,8.04,436.31651401519775
139,,,,437.38142800331116
140,93.00,21.25,8.05,441.389111995697
141,,,,442.45969104766846
142,93.00,21.25,8.01,446.46967005729675
143,,,,447.5389139652252
144,93.00,21.25,8.02,451.54441118240356
145,,,,452.61349296569824
146,93.00,21.25,8.02,456.62369418144226
147,,,,457.69334506988525
148,93.00,21.25,8.05,461.6975932121277
149,,,,462.7677171230316
150,93.00,21.25,8.06,466.772922039032
151,,,,467.9924359321594
152,93.00,21.25,8.06,471.9986081123352
153,,,,473.30952286720276
154,93.00,21.31,8.04,477.3186402320862
155,,,,478.6217131614685
156,93.00,21.31,8.02,482.631649017334
157,,,,483.93813395500183
158,93.00,21.31,7.97,487.9449830055237
159,94.00,21.31,,489.25272703170776
160,,,7.98,493.2310688495636
161,93.00,21.31,,496.56953716278076
162,,,8.05,498.57703924179077
163,93.00,21.31,,501.8872480392456
164,,,8.05,503.8882622718811
165,94.00,21.31,,507.1999580860138
166,,,8.01,509.2032399177551
167,93.00,21.31,,512.5141460895538
168,,,8.05,514.519697189331
169,93.00,21.31,,517.8315901756287
170,,,8.02,519.8388249874115
171,93.00,21.31,,523.1489028930664
172,,,8.04,525.1553330421448
173,93.00,21.37,,528.4607181549072
174,,,8.05,530.466245174408
175,94.00,21.37,,533.7768740653992
176,94.00,21.37,8.02,535.7827351093292
177,,,,538.925882101059
178,94.00,21.37,8.05,542.9368860721588
179,,,,543.9992089271545
180,93.00,21.44,8.05,548.0096640586853
181,,,,549.0794312953949
182,94.00,21.37,8.03,553.0900869369507
183,,,,554.1542589664459
184,93.00,21.37,8.02,558.1648080348969
185,,,,559.2314100265503
186,94.00,21.44,8.02,563.2392420768738
187,,,,564.3116390705109
188,94.00,21.44,8.04,568.322417974472
189,,,,569.3866250514984
190,94.00,21.44,8.04,573.3966729640961
191,,,,574.4653511047363
192,94.00,21.44,8.05,578.472275018692
193,,,,579.6080560684204
194,94.00,21.44,8.04,583.6190760135651
195,,,,584.9246830940247
196,94.00,21.44,8.02,588.9282140731812
197,,,,590.2408771514893
198,94.00,21.44,8.03,594.2521321773529
199,,,,595.5526950359344
200,94.00,21.44,8.04,599.5631520748138
